Test Case,Iteration,Latency (seconds)
1,1,0.010899066925048828
1,2,0.01406407356262207
1,3,0.010119915008544922
1,4,0.010457992553710938
1,5,0.009954690933227539
1,6,0.009776830673217773
1,7,0.009646892547607422
1,8,0.009382963180541992
1,9,0.009657859802246094
1,10,0.009292125701904297
1,11,0.009087085723876953
1,12,0.009570121765136719
1,13,0.00981283187866211
1,14,0.009826183319091797
1,15,0.009388923645019531
1,16,0.009637117385864258
1,17,0.009421825408935547
1,18,0.009218931198120117
1,19,0.010077953338623047
1,20,0.00960087776184082
1,21,0.009455204010009766
1,22,0.009640932083129883
1,23,0.009804964065551758
1,24,0.009296894073486328
1,25,0.009001970291137695
1,26,0.009895086288452148
1,27,0.009531736373901367
1,28,0.00952601432800293
1,29,0.009279966354370117
1,30,0.009320974349975586
1,31,0.009729862213134766
1,32,0.009343862533569336
1,33,0.009350061416625977
1,34,0.009627103805541992
1,35,0.009374856948852539
1,36,0.009525060653686523
1,37,0.009318828582763672
1,38,0.009141921997070312
1,39,0.009448051452636719
1,40,0.009299039840698242
1,41,0.009373903274536133
1,42,0.009387016296386719
1,43,0.009479045867919922
1,44,0.009597301483154297
1,45,0.009281158447265625
1,46,0.00892186164855957
1,47,0.008901834487915039
1,48,0.009149312973022461
1,49,0.009490013122558594
1,50,0.009076118469238281
1,51,0.009125709533691406
1,52,0.009227991104125977
1,53,0.009772777557373047
1,54,0.009457826614379883
1,55,0.009267091751098633
1,56,0.009050846099853516
1,57,0.009477853775024414
1,58,0.009368181228637695
1,59,0.009435892105102539
1,60,0.009241104125976562
1,61,0.009239912033081055
1,62,0.009599924087524414
1,63,0.010083198547363281
1,64,0.009222269058227539
1,65,0.009461164474487305
1,66,0.009629964828491211
1,67,0.009467124938964844
1,68,0.009469032287597656
1,69,0.010187864303588867
1,70,0.009431123733520508
1,71,0.010132074356079102
1,72,0.009731292724609375
1,73,0.00994110107421875
1,74,0.010168075561523438
1,75,0.009881019592285156
1,76,0.010096073150634766
1,77,0.010171890258789062
1,78,0.00957489013671875
1,79,0.009743928909301758
1,80,0.009655952453613281
1,81,0.009677648544311523
1,82,0.00948786735534668
1,83,0.009537935256958008
1,84,0.00927591323852539
1,85,0.009640932083129883
1,86,0.009341955184936523
1,87,0.009186029434204102
1,88,0.010514020919799805
1,89,0.0104827880859375
1,90,0.011008024215698242
1,91,0.010756254196166992
1,92,0.01111292839050293
1,93,0.010180234909057617
1,94,0.009638071060180664
1,95,0.009679079055786133
1,96,0.009804964065551758
1,97,0.009284019470214844
1,98,0.009712934494018555
1,99,0.009992122650146484
1,100,0.010046005249023438
2,1,0.010973930358886719
2,2,0.011306047439575195
2,3,0.011694192886352539
2,4,0.011193037033081055
2,5,0.011160135269165039
2,6,0.01025080680847168
2,7,0.009804964065551758
2,8,0.010025978088378906
2,9,0.00997614860534668
2,10,0.009998083114624023
2,11,0.009829044342041016
2,12,0.009915828704833984
2,13,0.009820938110351562
2,14,0.009710073471069336
2,15,0.009593963623046875
2,16,0.009709835052490234
2,17,0.010401010513305664
2,18,0.03870201110839844
2,19,0.019595861434936523
2,20,0.017600059509277344
2,21,0.013209819793701172
2,22,0.013744831085205078
2,23,0.011456012725830078
2,24,0.011046171188354492
2,25,0.010603904724121094
2,26,0.010910987854003906
2,27,0.011410951614379883
2,28,0.010988950729370117
2,29,0.01017904281616211
2,30,0.010022878646850586
2,31,0.009828805923461914
2,32,0.009784698486328125
2,33,0.00998997688293457
2,34,0.009672880172729492
2,35,0.009923934936523438
2,36,0.009550809860229492
2,37,0.009733200073242188
2,38,0.009633779525756836
2,39,0.009591817855834961
2,40,0.0093231201171875
2,41,0.009542226791381836
2,42,0.01100301742553711
2,43,0.01603102684020996
2,44,0.010726213455200195
2,45,0.009860992431640625
2,46,0.009588956832885742
2,47,0.009807825088500977
2,48,0.00983285903930664
2,49,0.009310007095336914
2,50,0.00932002067565918
2,51,0.009645223617553711
2,52,0.009663105010986328
2,53,0.009582042694091797
2,54,0.009435892105102539
2,55,0.009207963943481445
2,56,0.009858131408691406
2,57,0.009837150573730469
2,58,0.00974893569946289
2,59,0.009385108947753906
2,60,0.009362936019897461
2,61,0.009351015090942383
2,62,0.009141921997070312
2,63,0.009168148040771484
2,64,0.009188175201416016
2,65,0.00909280776977539
2,66,0.008984088897705078
2,67,0.009194135665893555
2,68,0.009390115737915039
2,69,0.009947776794433594
2,70,0.009620904922485352
2,71,0.009983062744140625
2,72,0.009800195693969727
2,73,0.009657144546508789
2,74,0.00943303108215332
2,75,0.009850025177001953
2,76,0.010111093521118164
2,77,0.010483980178833008
2,78,0.013052940368652344
2,79,0.010656118392944336
2,80,0.009811878204345703
2,81,0.01009821891784668
2,82,0.010007143020629883
2,83,0.009353876113891602
2,84,0.009335756301879883
2,85,0.009303092956542969
2,86,0.009243965148925781
2,87,0.00970602035522461
2,88,0.009057044982910156
2,89,0.009070873260498047
2,90,0.0096588134765625
2,91,0.009289979934692383
2,92,0.009307146072387695
2,93,0.009096145629882812
2,94,0.00927591323852539
2,95,0.009224891662597656
2,96,0.009082794189453125
2,97,0.009440898895263672
2,98,0.009115934371948242
2,99,0.009084939956665039
2,100,0.009306907653808594
3,1,0.0092010498046875
3,2,0.010107755661010742
3,3,0.009586811065673828
3,4,0.009418010711669922
3,5,0.009378194808959961
3,6,0.009417295455932617
3,7,0.009889841079711914
3,8,0.015516996383666992
3,9,0.009900808334350586
3,10,0.009649991989135742
3,11,0.00954294204711914
3,12,0.009847164154052734
3,13,0.010077238082885742
3,14,0.010635137557983398
3,15,0.011107921600341797
3,16,0.01096796989440918
3,17,0.010328292846679688
3,18,0.010893106460571289
3,19,0.012489795684814453
3,20,0.011272192001342773
3,21,0.010868072509765625
3,22,0.01050710678100586
3,23,0.010178804397583008
3,24,0.010560989379882812
3,25,0.010182857513427734
3,26,0.010010242462158203
3,27,0.01036691665649414
3,28,0.01105809211730957
3,29,0.011026859283447266
3,30,0.010661840438842773
3,31,0.010043859481811523
3,32,0.010230064392089844
3,33,0.009721040725708008
3,34,0.009415149688720703
3,35,0.010001897811889648
3,36,0.009660959243774414
3,37,0.009572982788085938
3,38,0.009428024291992188
3,39,0.009371280670166016
3,40,0.00952601432800293
3,41,0.00959014892578125
3,42,0.009351968765258789
3,43,0.009426355361938477
3,44,0.009490013122558594
3,45,0.009696006774902344
3,46,0.00932002067565918
3,47,0.0093231201171875
3,48,0.009816169738769531
3,49,0.009530782699584961
3,50,0.010657072067260742
3,51,0.011015892028808594
3,52,0.010719060897827148
3,53,0.01004481315612793
3,54,0.01010584831237793
3,55,0.009913206100463867
3,56,0.010236263275146484
3,57,0.010380983352661133
3,58,0.010523080825805664
3,59,0.011758089065551758
3,60,0.012153148651123047
3,61,0.010875940322875977
3,62,0.012218952178955078
3,63,0.012756109237670898
3,64,0.014067888259887695
3,65,0.011130094528198242
3,66,0.02156209945678711
3,67,0.013778924942016602
3,68,0.011100292205810547
3,69,0.010217905044555664
3,70,0.009810209274291992
3,71,0.010061025619506836
3,72,0.009865999221801758
3,73,0.009674310684204102
3,74,0.009958028793334961
3,75,0.010029792785644531
3,76,0.009690999984741211
3,77,0.009798765182495117
3,78,0.009673357009887695
3,79,0.009495019912719727
3,80,0.009911060333251953
3,81,0.00952005386352539
3,82,0.0093231201171875
3,83,0.009099960327148438
3,84,0.009718179702758789
3,85,0.009438037872314453
3,86,0.010235071182250977
3,87,0.009932994842529297
3,88,0.009587287902832031
3,89,0.00939798355102539
3,90,0.009216070175170898
3,91,0.00978398323059082
3,92,0.009685039520263672
3,93,0.009309768676757812
3,94,0.009118318557739258
3,95,0.009484052658081055
3,96,0.009306907653808594
3,97,0.00900411605834961
3,98,0.009556055068969727
3,99,0.009454965591430664
3,100,0.009289979934692383
4,1,0.009401082992553711
4,2,0.010684967041015625
4,3,0.010729074478149414
4,4,0.010694026947021484
4,5,0.009878873825073242
4,6,0.009804010391235352
4,7,0.024782896041870117
4,8,0.0329287052154541
4,9,0.01946282386779785
4,10,0.012621879577636719
4,11,0.010787725448608398
4,12,0.01039576530456543
4,13,0.012144088745117188
4,14,0.012536048889160156
4,15,0.009662151336669922
4,16,0.009879827499389648
4,17,0.009878873825073242
4,18,0.009808063507080078
4,19,0.009742021560668945
4,20,0.009388923645019531
4,21,0.01009368896484375
4,22,0.00982213020324707
4,23,0.00947713851928711
4,24,0.009773015975952148
4,25,0.009854793548583984
4,26,0.009739875793457031
4,27,0.009521007537841797
4,28,0.009785175323486328
4,29,0.010505199432373047
4,30,0.01050710678100586
4,31,0.01110076904296875
4,32,0.010482311248779297
4,33,0.009884119033813477
4,34,0.0100250244140625
4,35,0.00968790054321289
4,36,0.009994029998779297
4,37,0.010046005249023438
4,38,0.009942054748535156
4,39,0.009463071823120117
4,40,0.010303020477294922
4,41,0.009760141372680664
4,42,0.00956106185913086
4,43,0.00969386100769043
4,44,0.009748220443725586
4,45,0.009834051132202148
4,46,0.009591817855834961
4,47,0.009511947631835938
4,48,0.009440898895263672
4,49,0.00969696044921875
4,50,0.009988784790039062
4,51,0.009465932846069336
4,52,0.010255813598632812
4,53,0.01031494140625
4,54,0.010085105895996094
4,55,0.009885311126708984
4,56,0.009710311889648438
4,57,0.011231184005737305
4,58,0.01019597053527832
4,59,0.010263204574584961
4,60,0.009786844253540039
4,61,0.009906291961669922
4,62,0.00988912582397461
4,63,0.009598016738891602
4,64,0.010018110275268555
4,65,0.009519100189208984
4,66,0.009552955627441406
4,67,0.009237051010131836
4,68,0.009376764297485352
4,69,0.010023832321166992
4,70,0.009987115859985352
4,71,0.0101318359375
4,72,0.009907960891723633
4,73,0.011044025421142578
4,74,0.011533021926879883
4,75,0.01187896728515625
4,76,0.012526750564575195
4,77,0.011696815490722656
4,78,0.011569023132324219
4,79,0.01120901107788086
4,80,0.010740041732788086
4,81,0.010168075561523438
4,82,0.00995182991027832
4,83,0.009979248046875
4,84,0.010422945022583008
4,85,0.009917020797729492
4,86,0.009849071502685547
4,87,0.01003122329711914
4,88,0.010339975357055664
4,89,0.009797811508178711
4,90,0.009698152542114258
4,91,0.00956106185913086
4,92,0.009775161743164062
4,93,0.01004481315612793
4,94,0.010081052780151367
4,95,0.009908914566040039
4,96,0.010208845138549805
4,97,0.010087013244628906
4,98,0.010113239288330078
4,99,0.009564876556396484
4,100,0.00956106185913086
